Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-05-30,1303.1,2018-05-30,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05
2018-05-31,1306.0,2018-05-31,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05
2018-06-01,1303.0,2018-06-01,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05
2018-06-04,1296.7,2018-06-04,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05
2018-06-05,1296.4,2018-06-05,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06
2018-06-06,1300.6,2018-06-06,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07
2018-06-07,1300.9,2018-06-07,-0.07,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07
2018-06-08,1301.3,2018-06-08,-0.06,-0.07,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05
2018-06-11,1303.5,2018-06-11,-0.06,-0.06,-0.07,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05
2018-06-12,1304.5,2018-06-12,-0.05,-0.06,-0.06,-0.07,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05
2018-06-13,1299.6,2018-06-13,-0.04,-0.05,-0.06,-0.06,-0.07,-0.07,-0.07,-0.05,-0.03,-0.02,-0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06
